,City,Latitude,Longitude,Tempature,Humidity,Cloudiness,Windspeed,Country,Date of Weather
141,Lashio,22.9333,97.75,69.01,98,3,0.65,MM,09-12-2021
142,Betioky,-23.7167,44.3833,77.94,38,4,18.63,MG,09-12-2021
143,Nyurba,63.2842,118.3319,48.16,76,71,3.4,RU,09-12-2021
144,Calvinia,-31.4707,19.776,60.78,51,100,11.61,ZA,09-12-2021
145,Aquiraz,-3.9014,-38.3911,87.89,53,42,17.52,BR,09-12-2021
146,Kinsale,51.7075,-8.5306,56.57,88,75,9.22,IE,09-12-2021
147,Kudahuvadhoo,2.6708,72.8944,83.39,70,98,8.23,MV,09-12-2021
148,Faya,18.3851,42.4509,75.31,62,91,6.69,SA,09-12-2021
149,Road Town,18.4167,-64.6167,87.21,79,20,14.97,VG,09-12-2021
150,Sawtell,-30.3833,153.1,71.62,62,40,11.5,AU,09-12-2021
151,Kaitangata,-46.2817,169.8464,45.7,89,92,11.1,NZ,09-12-2021
152,Lagoa,39.05,-27.9833,69.24,76,100,23.24,PT,09-12-2021
153,College,64.8569,-147.8028,42.22,78,40,0.0,US,09-12-2021
154,Kyren,51.6828,102.1408,50.43,78,11,2.51,RU,09-12-2021
155,Kavieng,-2.5744,150.7967,82.72,76,47,13.51,PG,09-12-2021
156,Padang,-0.9492,100.3543,75.25,86,91,2.68,ID,09-12-2021
157,Clyde River,70.4692,-68.5914,32.23,80,75,37.98,CA,09-12-2021
158,Noumea,-22.2763,166.4572,62.58,78,0,7.96,NC,09-12-2021
159,Sablé-sur-Sarthe,47.8376,-0.3329,75.92,33,12,6.22,FR,09-12-2021
160,Banjar,-8.19,114.9675,78.66,90,60,3.33,ID,09-12-2021
161,Mackay,-21.15,149.2,67.05,88,37,0.0,AU,09-12-2021
162,Santa Cruz Cabrália,-16.2781,-39.0247,80.83,65,40,11.5,BR,09-12-2021
163,Hornepayne,49.2138,-84.7705,52.12,68,100,10.0,CA,09-12-2021
164,Cancún,21.1743,-86.8466,85.93,70,40,13.8,MX,09-12-2021
165,Turinsk,58.0458,63.696,42.71,66,90,8.86,RU,09-12-2021
166,Agadir,30.4202,-9.5982,77.45,51,97,12.53,MA,09-12-2021
167,Andenes,69.3143,16.1194,48.18,76,75,9.22,NO,09-12-2021
168,Luanda,-8.8368,13.2343,77.0,78,0,10.36,AO,09-12-2021
169,Erdenet,49.0333,104.0833,45.97,85,4,3.71,MN,09-12-2021
170,Togur,58.3631,82.8265,42.08,94,98,10.87,RU,09-12-2021
171,Sola,-13.8833,167.55,77.67,94,20,3.44,VU,09-12-2021
172,Port Blair,11.6667,92.75,81.21,84,95,19.37,IN,09-12-2021
173,Thompson,55.7435,-97.8558,41.16,81,75,6.91,CA,09-12-2021
174,Jamestown,42.097,-79.2353,72.3,83,88,11.01,US,09-12-2021
175,Stepnyak,52.8339,70.7803,44.31,53,82,9.62,KZ,09-12-2021
176,Skibbereen,51.55,-9.2667,57.0,91,100,12.37,IE,09-12-2021
177,Deer Lake,49.1667,-57.4316,67.86,52,40,14.97,CA,09-12-2021
178,Natividad,16.0443,120.7987,75.27,93,100,2.48,PH,09-12-2021
179,Rosetta,31.4044,30.4164,78.8,64,0,6.08,EG,09-12-2021
180,Gryazi,52.4966,39.9359,66.04,55,97,4.47,RU,09-12-2021
181,Rio Grande,-32.035,-52.0986,69.91,78,53,13.56,BR,09-12-2021
182,Nemuro,43.3236,145.575,63.25,87,90,17.29,JP,09-12-2021
183,Ketchikan,55.3422,-131.6461,54.07,100,90,9.22,US,09-12-2021
184,Arlit,18.7369,7.3853,106.23,12,5,7.45,NE,09-12-2021
185,Pochutla,15.7432,-96.4661,77.85,90,100,2.42,MX,09-12-2021
186,Melbourne,28.0836,-80.6081,90.03,81,1,4.0,US,09-12-2021
187,Amapá,1.0,-52.0,95.43,32,4,4.72,BR,09-12-2021
188,Magistral'nyy,56.1725,107.4458,38.71,96,12,3.78,RU,09-12-2021
189,Vila Franca do Campo,37.7167,-25.4333,72.01,75,100,21.79,PT,09-12-2021
190,Mabiton,12.8334,123.2612,83.32,71,100,1.03,PH,09-12-2021
191,Lapua,62.9693,23.0088,58.21,99,100,2.55,FI,09-12-2021
192,Mirny,62.5353,113.9611,49.21,96,100,6.55,RU,09-12-2021
193,Bonavista,48.6499,-53.1147,69.8,70,0,3.74,CA,09-12-2021
194,Grand Gaube,-20.0064,57.6608,72.37,72,23,11.99,MU,09-12-2021
195,Airai,-8.9266,125.4092,59.88,91,76,1.48,TL,09-12-2021
196,Khāsh,28.2211,61.2158,77.76,12,0,15.03,IR,09-12-2021
197,Texarkana,33.4251,-94.0477,82.83,59,1,7.0,US,09-12-2021
198,Biak,-0.9131,122.8766,75.16,84,99,1.48,ID,09-12-2021
199,Katsuura,35.1333,140.3,75.31,85,100,18.97,JP,09-12-2021
200,Yaan,7.3833,8.5667,82.31,79,68,6.11,NG,09-12-2021
201,Pytalovo,57.0679,27.9138,63.46,89,83,7.87,RU,09-12-2021
202,Baculin,7.4525,126.5842,77.27,85,76,3.6,PH,09-12-2021
203,Sambava,-14.2667,50.1667,71.35,88,98,14.61,MG,09-12-2021
204,Fort Nelson,58.8053,-122.7002,44.19,87,75,8.05,CA,09-12-2021
205,Colares,38.7992,-9.4469,77.99,74,20,12.66,PT,09-12-2021
206,Namatanai,-3.6667,152.4333,79.72,80,38,8.25,PG,09-12-2021
207,Hong Kong,22.2855,114.1577,88.32,80,95,1.01,HK,09-12-2021
208,Ancud,-41.8697,-73.8203,47.43,80,83,16.02,CL,09-12-2021
209,Andira,-0.7385,-47.8437,85.64,67,88,8.21,BR,09-12-2021
210,Chilliwack,49.1747,-121.9443,60.78,98,99,2.3,CA,09-12-2021
211,Ponta do Sol,32.6667,-17.1,81.72,66,56,9.98,PT,09-12-2021
212,Tuktoyaktuk,69.4541,-133.0374,42.8,100,90,10.36,CA,09-12-2021
213,Namysłów,51.0759,17.7228,74.66,68,70,6.33,PL,09-12-2021
214,Nizwá,22.9333,57.5333,93.79,30,99,5.03,OM,09-12-2021
215,Mabaruma,8.2,-59.7833,89.6,66,75,13.8,GY,09-12-2021
216,Byron Bay,-28.65,153.6167,67.95,82,2,15.12,AU,09-12-2021
217,Faanui,-16.4833,-151.75,76.87,74,24,16.82,PF,09-12-2021
218,Carballo,43.213,-8.691,80.29,59,94,5.01,ES,09-12-2021
219,Kokopo,-4.352,152.2633,77.31,82,80,8.41,PG,09-12-2021
220,Bragança,-1.0536,-46.7656,85.6,64,92,6.91,BR,09-12-2021
221,Te Anau,-45.4167,167.7167,41.54,89,100,3.65,NZ,09-12-2021
222,Dikson,73.5069,80.5464,40.53,85,15,6.96,RU,09-12-2021
223,Kurdzhinovo,43.9884,40.9552,56.25,95,9,3.38,RU,09-12-2021
224,Fairbanks,64.8378,-147.7164,42.24,78,1,0.0,US,09-12-2021
225,Blagoyevo,63.3667,47.9167,41.63,77,100,3.62,RU,09-12-2021
226,Okhotsk,59.3833,143.3,47.73,82,14,1.19,RU,09-12-2021
227,Olinda,-8.0089,-34.8553,82.13,61,75,11.5,BR,09-12-2021
228,Chokurdakh,70.6333,147.9167,43.21,73,71,8.61,RU,09-12-2021
229,Moss Vale,-34.55,150.3833,46.0,84,34,5.1,AU,09-12-2021
230,Havre-St-Pierre,50.2334,-63.5986,55.76,94,90,6.91,CA,09-12-2021
231,Rameshki,57.3439,36.0453,63.05,81,66,4.56,RU,09-12-2021
232,Baní,18.2833,-70.3333,87.24,58,22,14.12,DO,09-12-2021
233,Butaritari,3.0707,172.7902,83.1,74,100,21.72,KI,09-12-2021
234,Narsaq,60.9167,-46.05,46.62,80,100,6.38,GL,09-12-2021
235,Eyl,7.9803,49.8164,79.09,74,61,23.82,SO,09-12-2021
236,Wukari,7.85,9.7833,85.05,70,99,5.88,NG,09-12-2021
237,Nouadhibou,20.931,-17.0347,84.18,70,99,14.97,MR,09-12-2021
238,Hualmay,-11.0964,-77.6139,66.29,73,56,10.92,PE,09-12-2021
239,Baiyin,36.5583,104.2081,72.48,57,100,16.84,CN,09-12-2021
240,Saint-Augustin,51.226,-58.6502,60.35,66,45,13.87,CA,09-12-2021
241,Alyangula,-13.8483,136.4192,75.07,94,1,3.44,AU,09-12-2021
242,Trairi,-3.2778,-39.2689,87.06,51,94,18.54,BR,09-12-2021
243,Marsh Harbour,26.5412,-77.0636,85.01,70,83,15.41,BS,09-12-2021
244,Hobart,-42.8794,147.3294,46.26,77,90,1.01,AU,09-12-2021
245,Katangli,51.7102,143.2326,49.01,76,4,13.44,RU,09-12-2021
246,Cornélio Procópio,-23.1811,-50.6467,86.63,29,0,6.13,BR,09-12-2021
247,Araguaína,-7.1911,-48.2072,99.79,24,10,6.49,BR,09-12-2021
248,The Valley,18.217,-63.0578,88.11,66,75,18.41,AI,09-12-2021
